Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Stage2 direct,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.30226529891230547,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8416798960889017,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6153846153846154,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8412039439543332,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3592400690846287,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2310583784903382,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8130245069289419,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5798816568047337,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.843798650752465,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.34507042253521125,0.14999999999999997,2096,169
Stage2 direct,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.33050692574763696,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8415407621306656,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.5609756097560976,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8414376321353065,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.33093525179856115,0.14999999999999997,514,41
Stage2 direct,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.31122060362121834,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8465284665436356,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6390532544378699,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8370524130773223,0.14999999999999997,2096,169
Stage2 direct,Train_Fit,Train Fit,Elastic LR,f1,F1,0.36548223350253806,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.23038420089769304,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.812665239833816,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5739644970414202,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8412039439543332,0.14999999999999997,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.33916083916083917,0.14999999999999997,2096,169
Stage2 direct,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.32901464781474815,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8413345021399475,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.5609756097560976,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8393234672304439,0.14999999999999997,514,41
Stage2 direct,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.32857142857142857,0.14999999999999997,514,41
Stage2 direct,Train_Fit,Train Fit,LightGBM,prauc,PR-AUC,1.0,0.19999999999999996,2096,169
Stage2 direct,Train_Fit,Train Fit,LightGBM,auc,AUC,1.0,0.19999999999999996,2096,169
Stage2 direct,Train_Fit,Train Fit,LightGBM,recall,Sensitivity,1.0,0.19999999999999996,2096,169
Stage2 direct,Train_Fit,Train Fit,LightGBM,specificity,Specificity,0.9553710430721328,0.19999999999999996,2096,169
Stage2 direct,Train_Fit,Train Fit,LightGBM,f1,F1,0.7971698113207547,0.19999999999999996,2096,169
Stage2 direct,Validation_OOF,Validation OOF,LightGBM,prauc,PR-AUC,0.19999510666335088,0.19999999999999996,2096,169
Stage2 direct,Validation_OOF,Validation OOF,LightGBM,auc,AUC,0.7849371896715317,0.19999999999999996,2096,169
