Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
TwoStageTransition direct_anchor_ref,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.30226529891230547,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8416798960889017,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6153846153846154,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8412039439543332,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3592400690846287,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2310583784903382,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8130245069289419,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5798816568047337,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.843798650752465,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.34507042253521125,0.14999999999999997,2096,169
TwoStageTransition direct_anchor_ref,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.33050692574763696,0.14999999999999997,514,41
TwoStageTransition direct_anchor_ref,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8415407621306656,0.14999999999999997,514,41
TwoStageTransition direct_anchor_ref,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.5609756097560976,0.14999999999999997,514,41
TwoStageTransition direct_anchor_ref,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8414376321353065,0.14999999999999997,514,41
TwoStageTransition direct_anchor_ref,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.33093525179856115,0.14999999999999997,514,41
TwoStageTransition current_champion_ref,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22791843034484502,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8124380110727961,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5562130177514792,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8417228853139596,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Train_Fit,Train Fit,Elastic LR,f1,F1,0.33098591549295775,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.22051953163310112,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7998943693327151,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5207100591715976,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8526206538661131,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.32532347504621073,0.14999999999999997,2096,169
TwoStageTransition current_champion_ref,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.34843802167972504,0.14999999999999997,514,41
TwoStageTransition current_champion_ref,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.849894291754757,0.14999999999999997,514,41
TwoStageTransition current_champion_ref,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6829268292682927,0.14999999999999997,514,41
TwoStageTransition current_champion_ref,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8224101479915433,0.14999999999999997,514,41
TwoStageTransition current_champion_ref,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3660130718954248,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22897796071663987,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8114062696714087,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5621301775147929,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8370524130773223,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Train_Fit,Train Fit,Elastic LR,f1,F1,0.328719723183391,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.21989567662741058,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7997899669290034,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.514792899408284,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8500259470679813,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3192660550458716,0.14999999999999997,2096,169
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3492956257296246,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8473676068684577,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8202959830866807,0.14999999999999997,514,41
TwoStageTransition champion_sidecar_calibrated,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3741935483870968,0.14999999999999997,514,41
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.2257434788089159,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8120357547526122,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6035502958579881,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8168137000518941,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3269230769230769,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.2173305747571799,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.795632294734127,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5680473372781065,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.826673585884795,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.32053422370617696,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3459456515269599,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8518021966689011,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7317073170731707,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8033826638477801,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.36585365853658536,0.13999999999999999,514,41
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22746964979697346,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8108842576528498,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6153846153846154,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8116242864556306,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3270440251572327,0.13999999999999999,2096,169
TwoStageTransition direct_windowed_core_plus_champion_calibrated,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.21833785642133247,0.13999999999999999,2096,169
