Split,Model,Metric,Value
Train_OOF,Binary LR,AUC,0.7862729263072563
Train_OOF,Binary LR,Hyper_PR_AUC,0.21072949237457145
Train_OOF,Binary LR,LogLoss,0.5415278495171341
Train_OOF,Binary LR,Mean_MaxProb,0.8191815381878894
Train_OOF,Binary LR,Mean_P_Hyper,0.3164242853779861
Train_OOF,LightGBM,AUC,0.7781295388177348
Train_OOF,LightGBM,Hyper_PR_AUC,0.19367652665213497
Train_OOF,LightGBM,LogLoss,0.3583866369160127
Train_OOF,LightGBM,Mean_MaxProb,0.9608413696336018
Train_OOF,LightGBM,Mean_P_Hyper,0.058639356146095244
Train_OOF,EnsembleMean,AUC,0.7906271206738253
Train_OOF,EnsembleMean,Hyper_PR_AUC,0.19901759475640599
Train_OOF,EnsembleMean,LogLoss,0.31420900794855716
Train_OOF,EnsembleMean,Mean_MaxProb,0.8416531419528279
Train_OOF,EnsembleMean,Mean_P_Hyper,0.18753182076204064
Test,Binary LR,AUC,0.8257103078430361
Test,Binary LR,Hyper_PR_AUC,0.3231120497394959
Test,Binary LR,LogLoss,0.5928630077828944
Test,Binary LR,Mean_MaxProb,0.8138964967841695
Test,Binary LR,Mean_P_Hyper,0.35876512631261415
